Date,Description,Amount,Type,Category
2026-03-01,Salary from TCS,85000.00,income,Salary
2026-03-01,Rent Payment,-15000.00,expense,Rent & Housing
2026-03-02,Swiggy Food Order,-450.00,expense,Food & Dining
2026-03-02,Bigbasket Groceries,-2340.00,expense,Groceries
2026-03-03,Uber Ride to Office,-180.00,expense,Transportation
2026-03-03,Netflix Subscription,-649.00,expense,Entertainment
2026-03-04,Amazon Shopping - Headphones,-2499.00,expense,Shopping
2026-03-04,Electricity Bill - BESCOM,-1850.00,expense,Bills & Utilities
2026-03-05,Zomato Dinner,-620.00,expense,Food & Dining
2026-03-05,Freelance Web Project,12000.00,income,Freelance
2026-03-06,Ola Auto Ride,-120.00,expense,Transportation
2026-03-06,Spotify Premium,-119.00,expense,Entertainment
2026-03-07,Flipkart Order - Books,-899.00,expense,Shopping
2026-03-07,Gym Membership,-1500.00,expense,Healthcare
2026-03-08,Water Bill,-350.00,expense,Bills & Utilities
2026-03-08,Salon Haircut,-400.00,expense,Personal Care
2026-03-09,Jio Mobile Recharge,-599.00,expense,Bills & Utilities
2026-03-09,Mutual Fund SIP,5000.00,income,Investments
2026-03-10,Swiggy Instamart,-780.00,expense,Groceries
2026-03-10,Movie Tickets - PVR,-700.00,expense,Entertainment
2026-03-11,Rapido Bike Ride,-85.00,expense,Transportation
2026-03-11,Medical Checkup - Apollo,-1200.00,expense,Healthcare
2026-03-12,Myntra Shopping - Clothes,-3200.00,expense,Shopping
2026-03-12,Gas Cylinder Refill,-950.00,expense,Bills & Utilities
2026-03-13,Cafe Coffee Day,-320.00,expense,Food & Dining
2026-03-13,Insurance Premium - LIC,-4500.00,expense,Insurance
2026-03-14,Zerodha Dividend,2500.00,income,Investments
2026-03-14,Blinkit Groceries,-1150.00,expense,Groceries
2026-03-15,Maintenance Charges,-3500.00,expense,Rent & Housing
2026-03-15,Freelance Logo Design,5000.00,income,Freelance
2026-03-16,Udemy Course - Python,-499.00,expense,Education
2026-03-16,Swiggy Lunch,-380.00,expense,Food & Dining
2026-03-17,Metro Card Recharge,-500.00,expense,Transportation
2026-03-17,Amazon Prime Subscription,-1499.00,expense,Entertainment
2026-03-18,Dominos Pizza,-650.00,expense,Food & Dining
2026-03-18,Pharmacy - Medicine,-890.00,expense,Healthcare
2026-03-19,MakeMyTrip Hotel Booking,-4500.00,expense,Travel
2026-03-19,Consulting Fee Received,8000.00,income,Freelance
2026-03-20,Hotstar Subscription,-899.00,expense,Entertainment
2026-03-20,Samsung Store - Phone Case,-799.00,expense,Shopping
2026-03-21,Zomato Brunch,-520.00,expense,Food & Dining
2026-03-21,Petrol Fill - HP,-2000.00,expense,Transportation
2026-03-22,Spa Treatment,-1800.00,expense,Personal Care
2026-03-22,FD Interest Credited,3200.00,income,Investments
2026-03-23,Reliance Smart Groceries,-2800.00,expense,Groceries
2026-03-23,Parking Charges,-150.00,expense,Transportation
2026-03-24,Dentist Visit,-2000.00,expense,Healthcare
2026-03-24,Swiggy Genie Delivery,-99.00,expense,Food & Dining
2026-03-25,College Tuition Fee,-25000.00,expense,Education
2026-03-25,Cashback Reward,500.00,income,Other Income
2026-03-26,Ola Cab Airport,-850.00,expense,Transportation
2026-03-26,Decathlon Sports Gear,-3400.00,expense,Shopping
2026-03-27,Zomato Dinner,-440.00,expense,Food & Dining
2026-03-27,Wi-Fi Bill - ACT,-999.00,expense,Bills & Utilities
2026-03-28,Birthday Gift - Amazon,-1500.00,expense,Shopping
2026-03-28,PPF Deposit,5000.00,income,Investments
2026-03-29,Croma Electronics - Charger,-699.00,expense,Shopping
2026-03-29,Newspaper Subscription,-250.00,expense,Bills & Utilities
2026-03-30,Starbucks Coffee,-450.00,expense,Food & Dining
2026-03-30,Charity Donation,-1000.00,expense,Other Income
